"Date","Approve","Disapprove"
2017-02-06,46.2702702702703,46.7837837837838
2017-02-07,48.6666666666667,47.3333333333333
2017-02-08,44.8333333333333,49.1666666666667
2017-02-14,45.3642857142857,51.1571428571429
2017-02-15,47.8,47
2017-02-20,44.1818181818182,52.2727272727273
2017-02-21,43.4,50.8
2017-02-26,44.4444444444444,50.1666666666667
2017-02-27,47,51.6666666666667
2017-02-28,46.5714285714286,52.2857142857143
2017-03-01,46.6425925925926,47.8916666666667
2017-03-02,45.25,50
2017-03-03,47.1909090909091,48.5454545454545
2017-03-05,43,50.5
2017-03-06,45.6,48.4
2017-03-07,46.4529411764706,48.2941176470588
2017-03-08,45.8333333333333,49.8333333333333
2017-03-09,45,52
2017-03-10,48.3454545454545,47.3181818181818
2017-03-11,46.6666666666667,50.3333333333333
2017-03-12,45,49
2017-03-13,44.5,52
2017-03-14,47.7071428571429,48.75
2017-03-15,44,50
2017-03-16,43.6666666666667,54.6666666666667
2017-03-17,45.6230769230769,50.4923076923077
2017-03-18,38,56.5
2017-03-19,37,58
2017-03-20,44,53
2017-03-21,43.3333333333333,53.3333333333333
2017-03-22,45.21,49.72
2017-03-23,43,54.5
2017-03-24,46.3928571428571,50.3071428571429
2017-03-25,41,54
2017-03-26,40,54
2017-03-27,40.5,55.5
2017-03-28,44.9642857142857,50.0142857142857
2017-03-29,41.6666666666667,52.3333333333333
2017-03-30,40.1666666666667,57.6666666666667
2017-03-31,42.7230769230769,50.9307692307692
2017-04-01,40,56
2017-04-02,38,57
2017-04-03,39.25,56.75
2017-04-04,45.18125,50.16875
2017-04-05,43.1666666666667,51.3333333333333
2017-04-06,40.6666666666667,57.3333333333333
2017-04-07,44.4230769230769,52.4153846153846
2017-04-08,40,54
2017-04-09,40,54
2017-04-10,42.3333333333333,52.6666666666667
2017-04-11,46.4642857142857,49.1
2017-04-12,43.8,50.8
2017-04-13,41,56.6666666666667
2017-04-14,42.6666666666667,51.6666666666667
2017-04-15,39,55
2017-04-16,41,53
2017-04-17,47.4166666666667,48.2833333333333
2017-04-18,45.5,51
2017-04-19,45.6235294117647,50.1529411764706
2017-04-20,42.8333333333333,52.8333333333333
2017-04-21,44,53
2017-04-22,42,52
2017-04-23,40.6666666666667,53.6666666666667
2017-04-24,45.5,51.5
2017-04-25,43.7833333333333,52.0666666666667
2017-04-26,42.86,52.27
2017-04-27,43,54.6666666666667
2017-04-28,43,55.4
2017-04-29,43,51
2017-04-30,42,53
2017-05-01,43.2090909090909,52.8636363636364
2017-05-02,45,53
2017-05-03,44.1117647058824,51.0117647058824
2017-05-04,46,51
2017-05-05,44.6,51.8090909090909
2017-05-06,44,52.3333333333333
2017-05-07,40,54
2017-05-08,43.5,53.5
2017-05-09,44.325,51.125
2017-05-10,41.8333333333333,52.5
2017-05-11,43,53.5
2017-05-12,43.8,53.2
2017-05-13,40,55
2017-05-14,43.1181818181818,52.3545454545455
2017-05-15,41,56.5
2017-05-16,42.1933333333333,53.5133333333333
2017-05-17,40.6,53.8
2017-05-18,40,54.5
2017-05-19,40.2928571428571,55.85
2017-05-20,37,56
2017-05-21,38,56
2017-05-22,40,56
2017-05-23,43,55
2017-05-24,39.0842105263158,55.6578947368421
2017-05-25,43.5,53.5
2017-05-26,42.3333333333333,55
2017-05-27,43.5,54
2017-05-28,42,53
2017-05-29,43.5,54
2017-05-30,40.195652173913,55.5913043478261
2017-05-31,40.6666666666667,53.8333333333333
2017-06-01,41.5,55.5
2017-06-02,41.75,56
2017-06-03,40.8,55.22
2017-06-04,36,58
2017-06-05,41.5,55.5
2017-06-06,40.1571428571429,57.2
2017-06-07,39.8333333333333,55.1666666666667
2017-06-08,40,55.6666666666667
2017-06-09,39.7615384615385,57.2615384615385
2017-06-10,39,56
2017-06-11,38,58
2017-06-12,41,55
2017-06-13,39.5571428571429,56.5642857142857
2017-06-14,40.5,54.25
2017-06-15,41.25,56
2017-06-16,41.4733333333333,55.1866666666667
2017-06-17,39,55
2017-06-18,39,55
2017-06-19,43,53.5
2017-06-20,40.2,55.2
2017-06-21,39.0555555555556,57.3611111111111
2017-06-22,41.6666666666667,55
2017-06-23,44,54
2017-06-24,39,55
2017-06-25,38,57
2017-06-26,39.9727272727273,57.2090909090909
